POST /api/v1/users/login 200 , header-size: 506 bytes , response-body: 193 bytes - 157.578 ms
GET /api/v1/dashboard 500 , header-size: 54982 bytes , response-body: 60 bytes - 2.631 ms
GET /api/v1/dashboard 200 , header-size: 427 bytes , response-body: 41 bytes - 13.411 ms
GET /api/v1/dashboard 200 , header-size: 427 bytes , response-body: 41 bytes - 5.261 ms
GET /api/v1/dashboard 500 , header-size: 426 bytes , response-body: 88 bytes - 29.950 ms
GET /api/v1/dashboard 200 , header-size: 427 bytes , response-body: 41 bytes - 4.527 ms
POST /api/v1/tasks/ 201 , header-size: 427 bytes , response-body: 146 bytes - 27.139 ms
GET /api/v1/tasks 200 , header-size: 371 bytes , response-body: 129 bytes - 29.253 ms
POST /api/v1/users/logout 200 , header-size: 392 bytes , response-body: 56 bytes - 18.013 ms
POST /api/v1/users/register 201 , header-size: 198 bytes , response-body: 217 bytes - 72.409 ms
POST /api/v1/users/register 422 , header-size: 198 bytes , response-body: 70 bytes - 4.392 ms
POST /api/v1/users/login 200 , header-size: 198 bytes , response-body: 193 bytes - 42.412 ms
POST /api/v1/users/login 400 , header-size: 198 bytes , response-body: 65 bytes - 1.629 ms
GET /api/v1/tasks 500 , header-size: 166 bytes , response-body: 67 bytes - 0.999 ms
GET /api/v1/tasks 500 , header-size: 199 bytes , response-body: 60 bytes - 0.287 ms
POST /api/v1/tasks 500 , header-size: 222 bytes , response-body: 67 bytes - 0.193 ms
POST /api/v1/tasks 500 , header-size: 255 bytes , response-body: 60 bytes - 0.274 ms
POST /api/v1/users/register 201 , header-size: 198 bytes , response-body: 217 bytes - 18.827 ms
POST /api/v1/users/register 422 , header-size: 198 bytes , response-body: 70 bytes - 3.364 ms
POST /api/v1/users/login 200 , header-size: 198 bytes , response-body: 193 bytes - 9.377 ms
POST /api/v1/users/login 400 , header-size: 198 bytes , response-body: 65 bytes - 2.506 ms
GET /api/v1/tasks 500 , header-size: 166 bytes , response-body: 67 bytes - 0.571 ms
GET /api/v1/tasks 500 , header-size: 199 bytes , response-body: 60 bytes - 0.294 ms
POST /api/v1/tasks 500 , header-size: 222 bytes , response-body: 67 bytes - 0.212 ms
POST /api/v1/tasks 500 , header-size: 255 bytes , response-body: 60 bytes - 0.294 ms
