POST /api/v1/users/register 201 , header-size: 198 bytes , response-body: 217 bytes - 5.957 ms
POST /api/v1/users/register 422 , header-size: 198 bytes , response-body: 70 bytes - 14.877 ms
POST /api/v1/users/login 200 , header-size: 198 bytes , response-body: 1856 bytes - 21.550 ms
POST /api/v1/users/login 400 , header-size: 198 bytes , response-body: 65 bytes - 1.915 ms
GET /api/v1/tasks 200 , header-size: 1979 bytes , response-body: 11 bytes - 4.292 ms
GET /api/v1/tasks 401 , header-size: 199 bytes , response-body: 25 bytes - 0.342 ms
POST /api/v1/tasks 201 , header-size: 2035 bytes , response-body: 155 bytes - 5.542 ms
POST /api/v1/tasks 401 , header-size: 255 bytes , response-body: 25 bytes - 0.365 ms
PUT /api/v1/tasks/645a0c1aa9246656fa170cbd 200 , header-size: 2035 bytes , response-body: 135 bytes - 6.593 ms
PUT /api/v1/tasks/645a0c1aa9246656fa170cbd 401 , header-size: 255 bytes , response-body: 25 bytes - 0.373 ms
DELETE /api/v1/tasks/645a0c1aa9246656fa170cbd 401 , header-size: 199 bytes , response-body: 25 bytes - 0.428 ms
DELETE /api/v1/tasks/645a0c1aa9246656fa170cbd 200 , header-size: 1979 bytes , response-body: 20 bytes - 6.849 ms
